project_key,repo_slug,pr_id,pr_author,event_type,action,actor,created_on,is_inline,comment_id,text
KIOSK,kiosk,10508,tferreira,OTHER,OPENED,tferreira,2026-02-10T18:55:02.716000+00:00,0,,
KIOSK,kiosk,10508,tferreira,OTHER,RESCOPED,tferreira,2026-02-10T19:11:37.338000+00:00,0,,
KIOSK,kiosk,10508,tferreira,APPROVAL,APPROVED,dmoore,2026-02-10T19:39:05.106000+00:00,0,,
KIOSK,kiosk,10508,tferreira,APPROVAL,APPROVED,fnascimento,2026-02-10T19:39:37.108000+00:00,0,,
KIOSK,kiosk,10508,tferreira,OTHER,MERGED,tferreira,2026-02-10T22:22:30.724000+00:00,0,,
KIOSK,kiosk,10479,tferreira,OTHER,OPENED,tferreira,2026-02-03T16:28:09.416000+00:00,0,,
KIOSK,kiosk,10479,tferreira,APPROVAL,APPROVED,dmoore,2026-02-03T17:39:27.964000+00:00,0,,
KIOSK,kiosk,10479,tferreira,APPROVAL,APPROVED,sisouza,2026-02-03T20:06:27.036000+00:00,0,,
KIOSK,kiosk,10479,tferreira,OTHER,MERGED,tferreira,2026-02-10T19:04:38.641000+00:00,0,,
KIOSK,kiosk,10503,lakamine,OTHER,OPENED,lakamine,2026-02-09T19:39:02.671000+00:00,0,,
KIOSK,kiosk,10503,lakamine,APPROVAL,APPROVED,mvarela,2026-02-09T20:19:05.796000+00:00,0,,
KIOSK,kiosk,10503,lakamine,APPROVAL,APPROVED,esouza,2026-02-09T20:20:09.293000+00:00,0,,
KIOSK,kiosk,10503,lakamine,OTHER,MERGED,lakamine,2026-02-09T20:46:48.084000+00:00,0,,
KIOSK,kiosk,10502,lakamine,OTHER,OPENED,lakamine,2026-02-09T19:38:38.127000+00:00,0,,
KIOSK,kiosk,10502,lakamine,APPROVAL,APPROVED,mvarela,2026-02-09T20:19:03.794000+00:00,0,,
KIOSK,kiosk,10502,lakamine,APPROVAL,APPROVED,esouza,2026-02-09T20:20:05.539000+00:00,0,,
KIOSK,kiosk,10502,lakamine,OTHER,MERGED,lakamine,2026-02-09T20:46:47.530000+00:00,0,,
KIOSK,kiosk,10501,lakamine,OTHER,OPENED,lakamine,2026-02-09T19:38:23.656000+00:00,0,,
KIOSK,kiosk,10501,lakamine,APPROVAL,APPROVED,mvarela,2026-02-09T20:19:00.878000+00:00,0,,
KIOSK,kiosk,10501,lakamine,APPROVAL,APPROVED,esouza,2026-02-09T20:19:52.124000+00:00,0,,
KIOSK,kiosk,10501,lakamine,OTHER,MERGED,lakamine,2026-02-09T20:46:47.055000+00:00,0,,
KIOSK,kiosk,10498,lakamine,OTHER,OPENED,lakamine,2026-02-09T19:10:36.652000+00:00,0,,
KIOSK,kiosk,10498,lakamine,OTHER,RESCOPED,lakamine,2026-02-09T19:12:59.623000+00:00,0,,
KIOSK,kiosk,10498,lakamine,OTHER,RESCOPED,lakamine,2026-02-09T19:14:35.114000+00:00,0,,
KIOSK,kiosk,10498,lakamine,OTHER,RESCOPED,lakamine,2026-02-09T19:15:32.421000+00:00,0,,
KIOSK,kiosk,10498,lakamine,OTHER,RESCOPED,lakamine,2026-02-09T19:17:19.263000+00:00,0,,
KIOSK,kiosk,10498,lakamine,COMMENT,COMMENTED,lakamine,2026-02-09T19:37:39.315000+00:00,1,241646,
KIOSK,kiosk,10498,lakamine,COMMENT,COMMENTED,lakamine,2026-02-09T19:38:03.452000+00:00,1,241647,
KIOSK,kiosk,10498,lakamine,APPROVAL,APPROVED,mvarela,2026-02-09T20:18:56.151000+00:00,0,,
KIOSK,kiosk,10498,lakamine,APPROVAL,APPROVED,esouza,2026-02-09T20:19:45.998000+00:00,0,,
KIOSK,kiosk,10498,lakamine,OTHER,MERGED,lakamine,2026-02-09T20:46:46.594000+00:00,0,,
KIOSK,kiosk,10487,lakamine,OTHER,OPENED,lakamine,2026-02-05T13:15:39.865000+00:00,0,,
KIOSK,kiosk,10487,lakamine,APPROVAL,APPROVED,redias,2026-02-05T13:19:11.168000+00:00,0,,
KIOSK,kiosk,10487,lakamine,APPROVAL,APPROVED,esouza,2026-02-05T13:22:36.453000+00:00,0,,
KIOSK,kiosk,10487,lakamine,OTHER,MERGED,lakamine,2026-02-05T13:51:45.217000+00:00,0,,
KIOSK,kiosk,10488,lakamine,OTHER,OPENED,lakamine,2026-02-05T13:15:53.750000+00:00,0,,
KIOSK,kiosk,10488,lakamine,APPROVAL,APPROVED,redias,2026-02-05T13:19:16.415000+00:00,0,,
KIOSK,kiosk,10488,lakamine,APPROVAL,APPROVED,esouza,2026-02-05T13:22:39.799000+00:00,0,,
KIOSK,kiosk,10488,lakamine,OTHER,MERGED,lakamine,2026-02-05T13:30:52.889000+00:00,0,,
KIOSK,kiosk,10486,lakamine,OTHER,OPENED,lakamine,2026-02-05T13:06:20.229000+00:00,0,,
KIOSK,kiosk,10486,lakamine,APPROVAL,APPROVED,redias,2026-02-05T13:19:04.631000+00:00,0,,
KIOSK,kiosk,10486,lakamine,APPROVAL,APPROVED,esouza,2026-02-05T13:22:33.917000+00:00,0,,
KIOSK,kiosk,10486,lakamine,OTHER,MERGED,lakamine,2026-02-05T13:23:17.644000+00:00,0,,
KIOSK,kiosk,10482,lakamine,OTHER,OPENED,lakamine,2026-02-03T18:06:48.859000+00:00,0,,
KIOSK,kiosk,10482,lakamine,APPROVAL,APPROVED,esouza,2026-02-03T19:24:05.295000+00:00,0,,
KIOSK,kiosk,10482,lakamine,APPROVAL,APPROVED,mvarela,2026-02-03T19:25:36.536000+00:00,0,,
KIOSK,kiosk,10482,lakamine,OTHER,MERGED,lakamine,2026-02-03T19:26:04.061000+00:00,0,,
KIOSK,kioskui,7568,tferreira,OTHER,OPENED,tferreira,2026-02-10T19:03:32.205000+00:00,0,,
KIOSK,kioskui,7568,tferreira,APPROVAL,APPROVED,dmoore,2026-02-10T19:37:49.200000+00:00,0,,
KIOSK,kioskui,7568,tferreira,APPROVAL,APPROVED,fnascimento,2026-02-10T19:50:54.993000+00:00,0,,
KIOSK,kioskui,7568,tferreira,OTHER,RESCOPED,tferreira,2026-02-10T20:38:27.189000+00:00,0,,
KIOSK,kioskui,7568,tferreira,UNAPPROVAL,UNAPPROVED,dmoore,2026-02-10T20:38:27.458000+00:00,0,,
KIOSK,kioskui,7568,tferreira,UNAPPROVAL,UNAPPROVED,fnascimento,2026-02-10T20:38:27.485000+00:00,0,,
KIOSK,kioskui,7568,tferreira,APPROVAL,APPROVED,dmoore,2026-02-10T20:41:20.305000+00:00,0,,
KIOSK,kioskui,7568,tferreira,APPROVAL,APPROVED,jofavo,2026-02-10T22:19:14.441000+00:00,0,,
KIOSK,kioskui,7568,tferreira,OTHER,MERGED,tferreira,2026-02-10T22:22:16.150000+00:00,0,,
KIOSK,kioskui,7550,tferreira,OTHER,OPENED,tferreira,2026-02-03T16:25:08.424000+00:00,0,,
KIOSK,kioskui,7550,tferreira,APPROVAL,APPROVED,dmoore,2026-02-03T17:39:39.879000+00:00,0,,
KIOSK,kioskui,7550,tferreira,APPROVAL,APPROVED,sisouza,2026-02-03T20:13:25.091000+00:00,0,,
KIOSK,kioskui,7550,tferreira,OTHER,MERGED,tferreira,2026-02-10T19:04:43.612000+00:00,0,,
KIOSK,kioskui,7538,lakamine,OTHER,OPENED,lakamine,2026-02-02T16:32:20.885000+00:00,0,,
