project_key,repo_slug,pr_id,state,title,author,source_branch,target_branch,created_on,updated_on,closed_on,time_open_minutes,comments_total,comments_inline,comments_general,approvals_total,approvers_unique_count,approvers_unique,commenters_unique_count,commenters_unique,first_comment_at,first_review_event_at,first_approval_at,time_to_first_comment_minutes,time_to_first_review_event_minutes,time_to_first_approval_minutes,commits_total,last_commit_at,commits_after_first_comment,commits_after_first_approval,merge_lag_minutes
KIOSK,kiosk,10508,MERGED,KIOSKCHAN-8910 - [GSIT_NF] [Flex Packaging][IE][HU][B26445]: Packaging options are not displaying in Learn More page.,tferreira,bugfix/master/KIOSKCHAN-8910,master,2026-02-10T18:55:02.637000+00:00,2026-02-10T22:22:30.724000+00:00,2026-02-10T22:22:30.724000+00:00,207.47,0,0,0,2,2,"dmoore,fnascimento",0,,,2026-02-10T19:39:05.106000+00:00,2026-02-10T19:39:05.106000+00:00,,44.04,44.04,2,2026-02-10T19:09:20+00:00,,0,193.18
KIOSK,kiosk,10479,MERGED,KIOSKCHAN-6291 - Utensils Logic Update,tferreira,feature/master/KIOSKCHAN-8772/KIOSKCHAN-6291,epic/master/KIOSKCHAN-8772,2026-02-03T16:28:09.308000+00:00,2026-02-10T19:04:38.641000+00:00,2026-02-10T19:04:38.641000+00:00,10236.49,0,0,0,2,2,"dmoore,sisouza",0,,,2026-02-03T17:39:27.964000+00:00,2026-02-03T17:39:27.964000+00:00,,71.31,71.31,1,2026-02-03T16:24:32+00:00,,0,10240.11
KIOSK,kiosk,10503,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,bugfix/release/14.26.1/KSO-6830,release/14.26.1,2026-02-09T19:39:02.509000+00:00,2026-02-09T20:46:48.084000+00:00,2026-02-09T20:46:48.084000+00:00,67.76,0,0,0,2,2,"esouza,mvarela",0,,,2026-02-09T20:19:05.796000+00:00,2026-02-09T20:19:05.796000+00:00,,40.05,40.05,1,2026-02-09T19:33:30+00:00,,0,73.3
KIOSK,kiosk,10502,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,bugfix/master/KSO-6830,master,2026-02-09T19:38:38.043000+00:00,2026-02-09T20:46:47.530000+00:00,2026-02-09T20:46:47.530000+00:00,68.16,0,0,0,2,2,"esouza,mvarela",0,,,2026-02-09T20:19:03.794000+00:00,2026-02-09T20:19:03.794000+00:00,,40.43,40.43,1,2026-02-09T19:34:53+00:00,,0,71.91
KIOSK,kiosk,10501,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,bugfix/develop/12/KSO-6830,develop/12,2026-02-09T19:38:23.572000+00:00,2026-02-09T20:46:47.055000+00:00,2026-02-09T20:46:47.055000+00:00,68.39,0,0,0,2,2,"esouza,mvarela",0,,,2026-02-09T20:19:00.878000+00:00,2026-02-09T20:19:00.878000+00:00,,40.62,40.62,1,2026-02-09T19:36:00+00:00,,0,70.78
KIOSK,kiosk,10498,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,bugfix/release/14.0.113/KSO-6830,release/14.0.113,2026-02-09T19:10:36.567000+00:00,2026-02-09T20:46:46.594000+00:00,2026-02-09T20:46:46.594000+00:00,96.17,2,2,0,2,2,"esouza,mvarela",1,lakamine,2026-02-09T19:37:39.315000+00:00,2026-02-09T19:37:39.315000+00:00,2026-02-09T20:18:56.151000+00:00,27.05,27.05,68.33,5,2026-02-09T19:17:15+00:00,0,0,89.53
KIOSK,kiosk,10487,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,bugfix/master/KSO-6942,master,2026-02-05T13:15:39.746000+00:00,2026-02-05T13:51:45.217000+00:00,2026-02-05T13:51:45.217000+00:00,36.09,0,0,0,2,2,"esouza,redias",0,,,2026-02-05T13:19:11.168000+00:00,2026-02-05T13:19:11.168000+00:00,,3.52,3.52,1,2026-02-05T13:10:12+00:00,,0,41.55
KIOSK,kiosk,10488,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,bugfix/release/14.26.1/KSO-6942,release/14.26.1,2026-02-05T13:15:53.677000+00:00,2026-02-05T13:30:52.889000+00:00,2026-02-05T13:30:52.889000+00:00,14.99,0,0,0,2,2,"esouza,redias",0,,,2026-02-05T13:19:16.415000+00:00,2026-02-05T13:19:16.415000+00:00,,3.38,3.38,1,2026-02-05T13:08:42+00:00,,0,22.18
KIOSK,kiosk,10486,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,bugfix/release/14.25.9/KSO-6942,release/14.25.9,2026-02-05T13:06:20.151000+00:00,2026-02-05T13:23:17.644000+00:00,2026-02-05T13:23:17.644000+00:00,16.96,0,0,0,2,2,"esouza,redias",0,,,2026-02-05T13:19:04.631000+00:00,2026-02-05T13:19:04.631000+00:00,,12.74,12.74,1,2026-02-05T13:05:39+00:00,,0,17.64
KIOSK,kiosk,10482,MERGED,KSO-6689 Created AnalyticsProcessor class responsible to send analytics events,lakamine,bugfix/release/14.26.1/KSO-6689,release/14.26.1,2026-02-03T18:06:48.787000+00:00,2026-02-03T19:26:04.061000+00:00,2026-02-03T19:26:04.061000+00:00,79.25,0,0,0,2,2,"esouza,mvarela",0,,,2026-02-03T19:24:05.295000+00:00,2026-02-03T19:24:05.295000+00:00,,77.28,77.28,1,2026-02-03T18:05:34+00:00,,0,80.5
