project_key,repo_slug,pr_id,state,title,author,source_branch,target_branch,created_on,updated_on,closed_on,time_open_minutes,comments_total,comments_inline,comments_general,files_changed,lines_added,lines_removed,diff_source
KIOSK,kiosk,10508,MERGED,KIOSKCHAN-8910 - [GSIT_NF] [Flex Packaging][IE][HU][B26445]: Packaging options are not displaying in Learn More page.,tferreira,bugfix/master/KIOSKCHAN-8910,master,2026-02-10T18:55:02.637000+00:00,2026-02-10T22:22:30.724000+00:00,2026-02-10T22:22:30.724000+00:00,207.47,0,0,0,11,184,11,pr_diff
KIOSK,kiosk,10479,MERGED,KIOSKCHAN-6291 - Utensils Logic Update,tferreira,feature/master/KIOSKCHAN-8772/KIOSKCHAN-6291,epic/master/KIOSKCHAN-8772,2026-02-03T16:28:09.308000+00:00,2026-02-10T19:04:38.641000+00:00,2026-02-10T19:04:38.641000+00:00,10236.49,0,0,0,2,43,2,pr_diff
KIOSK,kiosk,10503,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,bugfix/release/14.26.1/KSO-6830,release/14.26.1,2026-02-09T19:39:02.509000+00:00,2026-02-09T20:46:48.084000+00:00,2026-02-09T20:46:48.084000+00:00,67.76,0,0,0,3,135,1,pr_diff
KIOSK,kiosk,10502,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,bugfix/master/KSO-6830,master,2026-02-09T19:38:38.043000+00:00,2026-02-09T20:46:47.530000+00:00,2026-02-09T20:46:47.530000+00:00,68.16,0,0,0,3,135,1,pr_diff
KIOSK,kiosk,10501,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,bugfix/develop/12/KSO-6830,develop/12,2026-02-09T19:38:23.572000+00:00,2026-02-09T20:46:47.055000+00:00,2026-02-09T20:46:47.055000+00:00,68.39,0,0,0,3,135,1,pr_diff
KIOSK,kiosk,10498,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,bugfix/release/14.0.113/KSO-6830,release/14.0.113,2026-02-09T19:10:36.567000+00:00,2026-02-09T20:46:46.594000+00:00,2026-02-09T20:46:46.594000+00:00,96.17,2,2,0,3,140,1,pr_diff
KIOSK,kiosk,10487,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,bugfix/master/KSO-6942,master,2026-02-05T13:15:39.746000+00:00,2026-02-05T13:51:45.217000+00:00,2026-02-05T13:51:45.217000+00:00,36.09,0,0,0,2,29,2,pr_diff
KIOSK,kiosk,10488,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,bugfix/release/14.26.1/KSO-6942,release/14.26.1,2026-02-05T13:15:53.677000+00:00,2026-02-05T13:30:52.889000+00:00,2026-02-05T13:30:52.889000+00:00,14.99,0,0,0,2,29,2,pr_diff
KIOSK,kiosk,10486,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,bugfix/release/14.25.9/KSO-6942,release/14.25.9,2026-02-05T13:06:20.151000+00:00,2026-02-05T13:23:17.644000+00:00,2026-02-05T13:23:17.644000+00:00,16.96,0,0,0,2,29,2,pr_diff
KIOSK,kiosk,10482,MERGED,KSO-6689 Created AnalyticsProcessor class responsible to send analytics events,lakamine,bugfix/release/14.26.1/KSO-6689,release/14.26.1,2026-02-03T18:06:48.787000+00:00,2026-02-03T19:26:04.061000+00:00,2026-02-03T19:26:04.061000+00:00,79.25,0,0,0,52,1769,146,pr_diff
KIOSK,kioskui,7568,MERGED,KIOSKCHAN-8910 - [GSIT_NF] [Flex Packaging][IE][HU][B26445]: Packaging options are not displaying in Learn More page.,tferreira,bugfix/master/KIOSKCHAN-8910,master,2026-02-10T19:03:32.135000+00:00,2026-02-10T22:22:16.150000+00:00,2026-02-10T22:22:16.150000+00:00,198.73,0,0,0,12,370,142,pr_diff
KIOSK,kioskui,7550,MERGED,KIOSKCHAN-6291 - Utensils Logic Update,tferreira,feature/master/KIOSKCHAN-8772/KIOSKCHAN-6291,epic/master/KIOSKCHAN-8772,2026-02-03T16:25:08.300000+00:00,2026-02-10T19:04:43.612000+00:00,2026-02-10T19:04:43.612000+00:00,10239.59,0,0,0,4,121,44,pr_diff
KIOSK,kioskui,7538,MERGED,KSO-6450 - add logs for analysis,lakamine,bugfix/release/14.26.1/KSO-6450,release/14.26.1,2026-02-02T16:32:20.791000+00:00,2026-02-02T18:28:01.227000+00:00,2026-02-02T18:28:01.227000+00:00,115.67,0,0,0,1,29,0,pr_diff
KIOSK,kioskui,7539,MERGED,KSO-6450 - add logs for analysis,lakamine,bugfix/master/KSO-6450,master,2026-02-02T16:32:41.784000+00:00,2026-02-02T18:27:59.990000+00:00,2026-02-02T18:27:59.990000+00:00,115.3,0,0,0,1,29,0,pr_diff
