project_key,repo_slug,pr_id,commit_hash,author,lines_added,lines_removed,lines_changed,files_changed
KIOSK,kiosk,10588,440cecf462086f6101c82be5693d15b264d0b86b,lakamine,133,0,133,2
KIOSK,kiosk,10564,ac6d458b5b52f9d2da672eb292f570298669b6d4,lakamine,2,1,3,1
KIOSK,kiosk,10564,02cd839cac4d056ef82cd501bd87235acf22d5b9,lakamine,31,3,34,2
KIOSK,kiosk,10563,bdad935802eacca158ac5e417b19feea83d3847b,lakamine,2,1,3,1
KIOSK,kiosk,10563,9fd2b6240d2a6506e59d35156431964a5d090308,lakamine,31,3,34,2
KIOSK,kiosk,10566,e7643cf26566225d959bb75ac27db439f58dbbf0,lakamine,2,1,3,1
KIOSK,kiosk,10566,f3335c2c96409015c32f91a7bb8c61fbbfa64870,lakamine,31,3,34,2
KIOSK,kiosk,10565,e6a0ac919657d04b4fe653b7408f45bc895391fd,lakamine,31,3,34,2
KIOSK,kiosk,10518,80b4d9ef72f84d01d0d9fa7dbca1ee452be85b4e,lakamine,45,0,45,2
KIOSK,kiosk,10503,0c8b264dd8bc2f4905b845ca84a2eae9703bd262,lakamine,135,1,136,3
KIOSK,kiosk,10502,2b7d27d039eb26174550c35bc1c04df7b66b7cf2,lakamine,135,1,136,3
KIOSK,kiosk,10501,6542e98b19a8e9f1c20cbe2aae005844f094fc70,lakamine,135,1,136,3
KIOSK,kiosk,10498,46146e4f828a5a11daeca5185979e0120ef370d0,lakamine,0,1,1,1
KIOSK,kiosk,10498,c519fc00702184e70310653ecb378e1efce16e58,lakamine,1,0,1,1
KIOSK,kiosk,10498,8d9c8d9545d955f9977f2765e225240f55d40f19,lakamine,0,1,1,1
KIOSK,kiosk,10498,59ffbf50e2123b3a22987e393f25c0675f6e1bc8,lakamine,0,138,138,1
KIOSK,kiosk,10498,1c66de5d174e02a2d24fd2eacfdb130a4eb3dacb,lakamine,279,1,280,3
KIOSK,kiosk,10487,e4db6fb87b9312e17572f6877da160ff67e51137,lakamine,29,2,31,2
KIOSK,kiosk,10488,03e5ae48921756d457b586e29c975bb3fba4e3c4,lakamine,29,2,31,2
KIOSK,kiosk,10486,cd1f4b088513df665210cc54e97baf61e0268d43,lakamine,29,2,31,2
KIOSK,kiosk,10482,96ad9bedf244a92048540df42a15ee1dcd5c7fba,lakamine,1769,146,1915,52
KIOSK,kiosk,10467,7c023c7c1266f0a00f644192efda1219879edc49,lakamine,168,20,188,4
KIOSK,kiosk,10468,db1c1fdba8c987b0ccf727097c32a4461f610eae,lakamine,168,20,188,4
KIOSK,kiosk,10463,fbe11f405c36ff8ae08b0bcfed005ede08c82b52,lakamine,168,20,188,4
