project_key,repo_slug,pr_id,event_type,action,actor,created_on,is_inline,comment_id,text
KIOSK,kiosk,10588,OTHER,OPENED,lakamine,2026-03-06T19:41:49.058000+00:00,0,,
KIOSK,kiosk,10588,COMMENT,COMMENTED,lakamine,2026-03-06T19:48:33.107000+00:00,1,244184,
KIOSK,kiosk,10588,APPROVAL,APPROVED,redias,2026-03-09T14:43:42.506000+00:00,0,,
KIOSK,kiosk,10588,OTHER,UPDATED,icarba,2026-03-09T16:55:49.095000+00:00,0,,
KIOSK,kiosk,10588,APPROVAL,APPROVED,icarba,2026-03-09T16:55:50.768000+00:00,0,,
KIOSK,kiosk,10588,OTHER,MERGED,lakamine,2026-03-10T16:54:30.371000+00:00,0,,
KIOSK,kiosk,10564,OTHER,OPENED,lakamine,2026-02-27T18:50:07.661000+00:00,0,,
KIOSK,kiosk,10564,OTHER,UPDATED,icarba,2026-02-27T18:56:11.027000+00:00,0,,
KIOSK,kiosk,10564,APPROVAL,APPROVED,icarba,2026-02-27T18:56:12.628000+00:00,0,,
KIOSK,kiosk,10564,APPROVAL,APPROVED,esouza,2026-02-27T18:56:53.642000+00:00,0,,
KIOSK,kiosk,10564,OTHER,RESCOPED,lakamine,2026-02-27T19:05:45.166000+00:00,0,,
KIOSK,kiosk,10564,UNAPPROVAL,UNAPPROVED,icarba,2026-02-27T19:05:45.419000+00:00,0,,
KIOSK,kiosk,10564,UNAPPROVAL,UNAPPROVED,esouza,2026-02-27T19:05:45.430000+00:00,0,,
KIOSK,kiosk,10564,APPROVAL,APPROVED,esouza,2026-02-27T19:07:54.061000+00:00,0,,
KIOSK,kiosk,10564,APPROVAL,APPROVED,icarba,2026-02-27T19:08:54.950000+00:00,0,,
KIOSK,kiosk,10564,OTHER,MERGED,lakamine,2026-02-27T19:43:25.420000+00:00,0,,
KIOSK,kiosk,10563,OTHER,OPENED,lakamine,2026-02-27T18:50:05.550000+00:00,0,,
KIOSK,kiosk,10563,OTHER,UPDATED,icarba,2026-02-27T18:55:58.240000+00:00,0,,
KIOSK,kiosk,10563,APPROVAL,APPROVED,icarba,2026-02-27T18:55:59.875000+00:00,0,,
KIOSK,kiosk,10563,APPROVAL,APPROVED,esouza,2026-02-27T18:56:50.604000+00:00,0,,
KIOSK,kiosk,10563,OTHER,RESCOPED,lakamine,2026-02-27T19:04:19.861000+00:00,0,,
KIOSK,kiosk,10563,UNAPPROVAL,UNAPPROVED,icarba,2026-02-27T19:04:20.071000+00:00,0,,
KIOSK,kiosk,10563,UNAPPROVAL,UNAPPROVED,esouza,2026-02-27T19:04:20.089000+00:00,0,,
KIOSK,kiosk,10563,APPROVAL,APPROVED,esouza,2026-02-27T19:07:52.726000+00:00,0,,
KIOSK,kiosk,10563,APPROVAL,APPROVED,icarba,2026-02-27T19:08:48.210000+00:00,0,,
KIOSK,kiosk,10563,UNAPPROVAL,UNAPPROVED,icarba,2026-02-27T19:08:48.433000+00:00,0,,
KIOSK,kiosk,10563,APPROVAL,APPROVED,icarba,2026-02-27T19:09:19.811000+00:00,0,,
KIOSK,kiosk,10563,OTHER,MERGED,lakamine,2026-02-27T19:43:24.928000+00:00,0,,
KIOSK,kiosk,10566,OTHER,OPENED,lakamine,2026-02-27T18:51:25.030000+00:00,0,,
KIOSK,kiosk,10566,OTHER,UPDATED,icarba,2026-02-27T18:55:46.189000+00:00,0,,
KIOSK,kiosk,10566,APPROVAL,APPROVED,icarba,2026-02-27T18:55:47.884000+00:00,0,,
KIOSK,kiosk,10566,APPROVAL,APPROVED,esouza,2026-02-27T18:56:46.142000+00:00,0,,
KIOSK,kiosk,10566,OTHER,RESCOPED,lakamine,2026-02-27T19:03:10.492000+00:00,0,,
KIOSK,kiosk,10566,UNAPPROVAL,UNAPPROVED,icarba,2026-02-27T19:03:10.870000+00:00,0,,
KIOSK,kiosk,10566,UNAPPROVAL,UNAPPROVED,esouza,2026-02-27T19:03:10.907000+00:00,0,,
KIOSK,kiosk,10566,APPROVAL,APPROVED,esouza,2026-02-27T19:07:51.152000+00:00,0,,
KIOSK,kiosk,10566,APPROVAL,APPROVED,icarba,2026-02-27T19:08:41.553000+00:00,0,,
KIOSK,kiosk,10566,OTHER,MERGED,lakamine,2026-02-27T19:43:24.429000+00:00,0,,
KIOSK,kiosk,10565,OTHER,OPENED,lakamine,2026-02-27T18:50:11.675000+00:00,0,,
KIOSK,kiosk,10565,OTHER,UPDATED,icarba,2026-02-27T18:56:19.617000+00:00,0,,
KIOSK,kiosk,10565,APPROVAL,APPROVED,icarba,2026-02-27T18:56:21.151000+00:00,0,,
KIOSK,kiosk,10565,APPROVAL,APPROVED,esouza,2026-02-27T18:56:57.642000+00:00,0,,
KIOSK,kiosk,10565,OTHER,MERGED,lakamine,2026-02-27T19:16:34.063000+00:00,0,,
KIOSK,kiosk,10518,OTHER,OPENED,lakamine,2026-02-12T16:48:39.479000+00:00,0,,
KIOSK,kiosk,10518,APPROVAL,APPROVED,esouza,2026-02-12T18:56:40.539000+00:00,0,,
KIOSK,kiosk,10518,OTHER,UPDATED,jasanch,2026-02-12T21:25:43.791000+00:00,0,,
KIOSK,kiosk,10518,APPROVAL,APPROVED,jasanch,2026-02-12T21:25:53.289000+00:00,0,,
KIOSK,kiosk,10518,OTHER,MERGED,lakamine,2026-02-18T12:52:36.979000+00:00,0,,
KIOSK,kiosk,10503,OTHER,OPENED,lakamine,2026-02-09T19:39:02.671000+00:00,0,,
KIOSK,kiosk,10503,APPROVAL,APPROVED,mvarela,2026-02-09T20:19:05.796000+00:00,0,,
KIOSK,kiosk,10503,APPROVAL,APPROVED,esouza,2026-02-09T20:20:09.293000+00:00,0,,
KIOSK,kiosk,10503,OTHER,MERGED,lakamine,2026-02-09T20:46:48.084000+00:00,0,,
KIOSK,kiosk,10502,OTHER,OPENED,lakamine,2026-02-09T19:38:38.127000+00:00,0,,
