project_key,repo_slug,pr_id,state,title,author,created_on,updated_on,closed_on,time_open_minutes,comments_total,comments_inline,comments_general,approvals_total,approvers_unique_count,approvers_unique,commenters_unique_count,commenters_unique,first_comment_at,first_review_event_at,first_approval_at,time_to_first_comment_minutes,time_to_first_review_event_minutes,time_to_first_approval_minutes,commits_total,last_commit_at,commits_after_first_comment,commits_after_first_approval,merge_lag_minutes
KIOSK,kiosk,10588,MERGED,KSO-7290 Finding parent order item by child sellsequence,lakamine,2026-03-06T19:41:48.942000+00:00,2026-03-10T16:54:30.371000+00:00,2026-03-10T16:54:30.371000+00:00,5592.69,1,1,0,2,2,"icarba,redias",1,lakamine,2026-03-06T19:48:33.107000+00:00,2026-03-06T19:48:33.107000+00:00,2026-03-09T14:43:42.506000+00:00,6.74,6.74,4021.89,1,2026-03-06T19:08:37+00:00,0,0,5625.89
KIOSK,kiosk,10564,MERGED,KSO-6911 Improvement to avoid exception (Cherry pick of KSO_6488),lakamine,2026-02-27T18:50:07.375000+00:00,2026-02-27T19:43:25.420000+00:00,2026-02-27T19:43:25.420000+00:00,53.3,0,0,0,4,2,"esouza,icarba",0,,,2026-02-27T18:56:12.628000+00:00,2026-02-27T18:56:12.628000+00:00,,6.09,6.09,2,2026-02-27T19:05:08+00:00,,1,38.29
KIOSK,kiosk,10563,MERGED,KSO-6911 Improvement to avoid exception (Cherry pick of KSO_6488),lakamine,2026-02-27T18:50:05.365000+00:00,2026-02-27T19:43:24.928000+00:00,2026-02-27T19:43:24.928000+00:00,53.33,0,0,0,5,2,"esouza,icarba",0,,,2026-02-27T18:55:59.875000+00:00,2026-02-27T18:55:59.875000+00:00,,5.91,5.91,2,2026-02-27T19:04:01+00:00,,1,39.4
KIOSK,kiosk,10566,MERGED,KSO-6911 Improvement to avoid exception (Cherry pick of KSO_6488),lakamine,2026-02-27T18:51:24.704000+00:00,2026-02-27T19:43:24.429000+00:00,2026-02-27T19:43:24.429000+00:00,52.0,0,0,0,4,2,"esouza,icarba",0,,,2026-02-27T18:55:47.884000+00:00,2026-02-27T18:55:47.884000+00:00,,4.39,4.39,2,2026-02-27T19:02:52+00:00,,1,40.54
KIOSK,kiosk,10565,MERGED,KSO-6911 Improvement to avoid exception (Cherry pick of KSO_6488),lakamine,2026-02-27T18:50:11.420000+00:00,2026-02-27T19:16:34.063000+00:00,2026-02-27T19:16:34.063000+00:00,26.38,0,0,0,2,2,"esouza,icarba",0,,,2026-02-27T18:56:21.151000+00:00,2026-02-27T18:56:21.151000+00:00,,6.16,6.16,1,2026-02-27T18:17:23+00:00,,0,59.18
KIOSK,kiosk,10518,MERGED,"KSO-7007 Added log when ""ReceiptAckConfirmation"" message is received",lakamine,2026-02-12T16:48:39.418000+00:00,2026-02-18T12:52:36.979000+00:00,2026-02-18T12:52:36.979000+00:00,8403.96,0,0,0,2,2,"esouza,jasanch",0,,,2026-02-12T18:56:40.539000+00:00,2026-02-12T18:56:40.539000+00:00,,128.02,128.02,1,2026-02-12T16:47:52+00:00,,0,8404.75
KIOSK,kiosk,10503,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,2026-02-09T19:39:02.509000+00:00,2026-02-09T20:46:48.084000+00:00,2026-02-09T20:46:48.084000+00:00,67.76,0,0,0,2,2,"esouza,mvarela",0,,,2026-02-09T20:19:05.796000+00:00,2026-02-09T20:19:05.796000+00:00,,40.05,40.05,1,2026-02-09T19:33:30+00:00,,0,73.3
KIOSK,kiosk,10502,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,2026-02-09T19:38:38.043000+00:00,2026-02-09T20:46:47.530000+00:00,2026-02-09T20:46:47.530000+00:00,68.16,0,0,0,2,2,"esouza,mvarela",0,,,2026-02-09T20:19:03.794000+00:00,2026-02-09T20:19:03.794000+00:00,,40.43,40.43,1,2026-02-09T19:34:53+00:00,,0,71.91
KIOSK,kiosk,10501,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,2026-02-09T19:38:23.572000+00:00,2026-02-09T20:46:47.055000+00:00,2026-02-09T20:46:47.055000+00:00,68.39,0,0,0,2,2,"esouza,mvarela",0,,,2026-02-09T20:19:00.878000+00:00,2026-02-09T20:19:00.878000+00:00,,40.62,40.62,1,2026-02-09T19:36:00+00:00,,0,70.78
KIOSK,kiosk,10498,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,2026-02-09T19:10:36.567000+00:00,2026-02-09T20:46:46.594000+00:00,2026-02-09T20:46:46.594000+00:00,96.17,2,2,0,2,2,"esouza,mvarela",1,lakamine,2026-02-09T19:37:39.315000+00:00,2026-02-09T19:37:39.315000+00:00,2026-02-09T20:18:56.151000+00:00,27.05,27.05,68.33,5,2026-02-09T19:17:15+00:00,0,0,89.53
KIOSK,kiosk,10487,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,2026-02-05T13:15:39.746000+00:00,2026-02-05T13:51:45.217000+00:00,2026-02-05T13:51:45.217000+00:00,36.09,0,0,0,2,2,"esouza,redias",0,,,2026-02-05T13:19:11.168000+00:00,2026-02-05T13:19:11.168000+00:00,,3.52,3.52,1,2026-02-05T13:10:12+00:00,,0,41.55
KIOSK,kiosk,10488,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,2026-02-05T13:15:53.677000+00:00,2026-02-05T13:30:52.889000+00:00,2026-02-05T13:30:52.889000+00:00,14.99,0,0,0,2,2,"esouza,redias",0,,,2026-02-05T13:19:16.415000+00:00,2026-02-05T13:19:16.415000+00:00,,3.38,3.38,1,2026-02-05T13:08:42+00:00,,0,22.18
KIOSK,kiosk,10486,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,2026-02-05T13:06:20.151000+00:00,2026-02-05T13:23:17.644000+00:00,2026-02-05T13:23:17.644000+00:00,16.96,0,0,0,2,2,"esouza,redias",0,,,2026-02-05T13:19:04.631000+00:00,2026-02-05T13:19:04.631000+00:00,,12.74,12.74,1,2026-02-05T13:05:39+00:00,,0,17.64
KIOSK,kiosk,10482,MERGED,KSO-6689 Created AnalyticsProcessor class responsible to send analytics events,lakamine,2026-02-03T18:06:48.787000+00:00,2026-02-03T19:26:04.061000+00:00,2026-02-03T19:26:04.061000+00:00,79.25,0,0,0,2,2,"esouza,mvarela",0,,,2026-02-03T19:24:05.295000+00:00,2026-02-03T19:24:05.295000+00:00,,77.28,77.28,1,2026-02-03T18:05:34+00:00,,0,80.5
KIOSK,kiosk,10467,MERGED,KSO-6942 Changed to Subscribe and Unsubscrine when Starting and Stopping Kiosk and Added logs for DigitalReceipt,lakamine,2026-01-29T18:57:08.211000+00:00,2026-01-29T19:53:51.438000+00:00,2026-01-29T19:53:51.438000+00:00,56.72,0,0,0,2,2,"dtoniolo,esouza",0,,,2026-01-29T19:49:06.219000+00:00,2026-01-29T19:49:06.219000+00:00,,51.97,51.97,1,2026-01-29T18:23:43+00:00,,0,90.14
KIOSK,kiosk,10468,MERGED,KSO-6942 Changed to Subscribe and Unsubscrine when Starting and Stopping Kiosk and Added logs for DigitalReceipt,lakamine,2026-01-29T19:36:14.454000+00:00,2026-01-29T19:53:50.455000+00:00,2026-01-29T19:53:50.455000+00:00,17.6,0,0,0,2,2,"dtoniolo,esouza",0,,,2026-01-29T19:48:57.100000+00:00,2026-01-29T19:48:57.100000+00:00,,12.71,12.71,1,2026-01-29T18:22:42+00:00,,0,91.14
KIOSK,kiosk,10463,MERGED,KSO-6942 Changed to Subscribe and Unsubscrine when Starting and Stopping Kiosk and Added logs for DigitalReceipt,lakamine,2026-01-28T20:38:57.713000+00:00,2026-01-29T18:14:50.752000+00:00,2026-01-29T18:14:50.752000+00:00,1295.88,0,0,0,2,2,"redias,sudhak",0,,,2026-01-29T13:07:04.277000+00:00,2026-01-29T13:07:04.277000+00:00,,988.11,988.11,1,2026-01-28T20:21:05+00:00,,0,1313.76
