project_key,repo_slug,pr_id,state,title,author,created_on,updated_on,closed_on,time_open_minutes,comments_total,comments_inline,comments_general,commits_count_total,commits_count_kept
KIOSK,kiosk,10588,MERGED,KSO-7290 Finding parent order item by child sellsequence,lakamine,2026-03-06T19:41:48.942000+00:00,2026-03-10T16:54:30.371000+00:00,2026-03-10T16:54:30.371000+00:00,5592.69,1,1,0,1,1
KIOSK,kiosk,10564,MERGED,KSO-6911 Improvement to avoid exception (Cherry pick of KSO_6488),lakamine,2026-02-27T18:50:07.375000+00:00,2026-02-27T19:43:25.420000+00:00,2026-02-27T19:43:25.420000+00:00,53.3,0,0,0,2,2
KIOSK,kiosk,10563,MERGED,KSO-6911 Improvement to avoid exception (Cherry pick of KSO_6488),lakamine,2026-02-27T18:50:05.365000+00:00,2026-02-27T19:43:24.928000+00:00,2026-02-27T19:43:24.928000+00:00,53.33,0,0,0,2,2
KIOSK,kiosk,10566,MERGED,KSO-6911 Improvement to avoid exception (Cherry pick of KSO_6488),lakamine,2026-02-27T18:51:24.704000+00:00,2026-02-27T19:43:24.429000+00:00,2026-02-27T19:43:24.429000+00:00,52.0,0,0,0,2,2
KIOSK,kiosk,10565,MERGED,KSO-6911 Improvement to avoid exception (Cherry pick of KSO_6488),lakamine,2026-02-27T18:50:11.420000+00:00,2026-02-27T19:16:34.063000+00:00,2026-02-27T19:16:34.063000+00:00,26.38,0,0,0,1,1
KIOSK,kiosk,10518,MERGED,"KSO-7007 Added log when ""ReceiptAckConfirmation"" message is received",lakamine,2026-02-12T16:48:39.418000+00:00,2026-02-18T12:52:36.979000+00:00,2026-02-18T12:52:36.979000+00:00,8403.96,0,0,0,1,1
KIOSK,kiosk,10503,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,2026-02-09T19:39:02.509000+00:00,2026-02-09T20:46:48.084000+00:00,2026-02-09T20:46:48.084000+00:00,67.76,0,0,0,1,1
KIOSK,kiosk,10502,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,2026-02-09T19:38:38.043000+00:00,2026-02-09T20:46:47.530000+00:00,2026-02-09T20:46:47.530000+00:00,68.16,0,0,0,1,1
KIOSK,kiosk,10501,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,2026-02-09T19:38:23.572000+00:00,2026-02-09T20:46:47.055000+00:00,2026-02-09T20:46:47.055000+00:00,68.39,0,0,0,1,1
KIOSK,kiosk,10498,MERGED,KSO-6830 Added logs during parameters mapping in Np6Integator Kiosk extension,lakamine,2026-02-09T19:10:36.567000+00:00,2026-02-09T20:46:46.594000+00:00,2026-02-09T20:46:46.594000+00:00,96.17,2,2,0,5,5
KIOSK,kiosk,10487,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,2026-02-05T13:15:39.746000+00:00,2026-02-05T13:51:45.217000+00:00,2026-02-05T13:51:45.217000+00:00,36.09,0,0,0,1,1
KIOSK,kiosk,10488,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,2026-02-05T13:15:53.677000+00:00,2026-02-05T13:30:52.889000+00:00,2026-02-05T13:30:52.889000+00:00,14.99,0,0,0,1,1
KIOSK,kiosk,10486,MERGED,KSO-6942 Included NodeName in MessageHub subscription,lakamine,2026-02-05T13:06:20.151000+00:00,2026-02-05T13:23:17.644000+00:00,2026-02-05T13:23:17.644000+00:00,16.96,0,0,0,1,1
KIOSK,kiosk,10482,MERGED,KSO-6689 Created AnalyticsProcessor class responsible to send analytics events,lakamine,2026-02-03T18:06:48.787000+00:00,2026-02-03T19:26:04.061000+00:00,2026-02-03T19:26:04.061000+00:00,79.25,0,0,0,1,1
KIOSK,kiosk,10467,MERGED,KSO-6942 Changed to Subscribe and Unsubscrine when Starting and Stopping Kiosk and Added logs for DigitalReceipt,lakamine,2026-01-29T18:57:08.211000+00:00,2026-01-29T19:53:51.438000+00:00,2026-01-29T19:53:51.438000+00:00,56.72,0,0,0,1,1
KIOSK,kiosk,10468,MERGED,KSO-6942 Changed to Subscribe and Unsubscrine when Starting and Stopping Kiosk and Added logs for DigitalReceipt,lakamine,2026-01-29T19:36:14.454000+00:00,2026-01-29T19:53:50.455000+00:00,2026-01-29T19:53:50.455000+00:00,17.6,0,0,0,1,1
KIOSK,kiosk,10463,MERGED,KSO-6942 Changed to Subscribe and Unsubscrine when Starting and Stopping Kiosk and Added logs for DigitalReceipt,lakamine,2026-01-28T20:38:57.713000+00:00,2026-01-29T18:14:50.752000+00:00,2026-01-29T18:14:50.752000+00:00,1295.88,0,0,0,1,1
